source,productid,mobilename,userid,review,rating,reviewdate
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Pankaj Dhalwal,...The quality of the camera is very low while the 12 MP camera of the iPhone X is 100 times better.,,5 months ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Rinku singh,...Nyc Phone with the camera quality,,4 days ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Saurabh Suman,...Camera is good in terms of videography.But for photography I will not recommend,,4 days ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Rohan Bhosale,...Camera Quality is too Good Photos shoot like a DSLR Camera ❤️,,2 days ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Zahid Ansari,...comfortable to keep in pocket..good display size..camera quality Is good ..and abt performance of battery little bit,,4 days ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Santharao,...Excellent performanceGood camera qualityGood design,,7 days ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Shahil  Ansari,...Everything is fine and the camera is also very good.�,,7 days ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,1 month ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,3 months ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Anonymous,,,
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",subhajit sadhukhan,"...Display:It looks awesome, check my imagesCamera: excellent picture and details capturedVideo: Front camera 4k awesome.Battery:",,"Sep, 2024"
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Sonia Sharma,...Camera quality is amazing 4k shots and many things.,,2 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Flipkart Customer,...Camera: The camera system is versatile and can take great photos in a variety of conditions.,,7 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Rajeevan Kakkokara,"...etc, then exynos is good for these tasks.The phone is great and camera is good.",,4 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Ashish Kumar Patel,"...wrost camera quality,never saatified in hand feel ..not good for money....i suggeust in this",,"Aug, 2024"
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Flipkart Customer,"...Product is bestLove the Camera qualityHeating problem with battery,it could be",,4 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Ashwini  Kamate,...The product is good 👍Camera quality Better clear skin tones,,3 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Sewanga Pulak  Dolakashoria,...Portrait camera mode and the primary camera on this phone is really nice.,,4 days ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Flipkart Customer,...Camera is top notch too and you can get some pretty good images.,,"Jun, 2024"
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",ARYAN SINGH,".... The camera is not too vibrant and takes natural photos, selfie camera is good to",,10 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Farhana Parvin,...Camera quality is amazing...I'm obsessed �,,8 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Bhaskar  Bairagi,...good picture quality camera... but battry backup bad quality and charging,,4 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",SUSHEEL RAIKWAR,...Camera quality is too poor to be compared with VGA camera.,,5 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Yesudass Moses,...Better than my Nothing 2a in terms of camera quality...,,9 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Harsh Sharma,...Camera isn't too good the dynamic range is soo badHeating issuePerformance is good enough,,2 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",abhi ranshinge,...Phone Good but camera quality is no good.bed camera,,3 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Mohit Rajput,...VERY NICE MOBILE AND NEXT LEVEL CAMERAIT PLAY BHMI ON 60 FPSI LOVE IT,,4 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Aparajita Samal,...Camera Quality n storeg,,4 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Amit kumar Tiwary,...Samsung a35 smartphone is good 👍 camera ossam,,4 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Amit Kumar Sahu,...Only camera quality not up to the mark I was exchange from iPhone xr believe me XR camera much better than A35,,4 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Anonymous,,,
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Prince  Kushwaha,"...The camera quality is top-notch, capturing sharp and vibrant photos even in low light.",,4 months ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",anmolsingh  anmol,...iPhone 13pro max to 16The camera qualities is fab�,,7 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Pintu Harsha,...Perfomance wise also good 👍🏻...No doubt about camera (stunning,,5 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Shubham Gupta,...Nice phone in terms of use and camera quality,,5 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sayantan Mondal,"...Amazing phone ,camera quantity top-notch.Good performance.",,8 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",BISWARUP GHOSH,...NO DOUBT ABOUT IPHONE 16. CAMERA IS EXCELLENT.BATTERY IS MODERATE. DISPLAY IS MUCH BETTER,,6 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sanjeev Bhati,...Amazing iphone ever .Camera is great and inland feel is amazing.Thanks flipkart,,1 day ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sougata Roy,...Intelligence is not available out of the box.Camera quality is awesome.,,"Sep, 2024"
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Abhijeet  Modak,...Very nice phone. I got this in BBD.Camera quality is superb.,,7 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rohan Bhosale,...Cameras Quality is Too Good Photos Click like a DSLR camera ❤️,,2 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Yash Vishwakarma,...Camera is  so good and have 5x optical zoom�,,2 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Pankaj Dhalwal,...The quality of the camera is very low while the 12 MP camera of the iPhone X is 100 times better.,,5 months ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rinku singh,...Nyc Phone with the camera quality,,4 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Saurabh Suman,...Camera is good in terms of videography.But for photography I will not recommend,,4 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rohan Bhosale,...Camera Quality is too Good Photos shoot like a DSLR Camera ❤️,,2 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Zahid Ansari,...comfortable to keep in pocket..good display size..camera quality Is good ..and abt performance of battery little bit,,4 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Santharao,...Excellent performanceGood camera qualityGood design,,7 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Shahil  Ansari,...Everything is fine and the camera is also very good.�,,7 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,1 month ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,3 months ago
