source,product_id,category,product_name,price,mrp,discount,rating,url,scraped_at,matched_id
flipkart,FK_HA_006,home_appliances,LG 242 L 3 Star Double Door Refrigerator,25490,30990,17.8,4.4,https://www.flipkart.com/search?q=LG+242+L+3+Star+Double+Door+Refrigerator,2026-09-10 10:00:00,MATCH_HA_006
amazon,AZ_HA_006,home_appliances,LG 242 L 3 Star Double Door Refrigerator,24490,30990,21.0,4.3,https://www.amazon.in/s?k=LG+242+L+3+Star+Double+Door+Refrigerator&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_006
flipkart,FK_HA_007,home_appliances,Samsung 253 L 3 Star Double Door Refrigerator,23490,28990,19.0,4.3,https://www.flipkart.com/search?q=Samsung+253+L+3+Star+Double+Door+Refrigerator,2026-09-10 10:00:00,MATCH_HA_007
amazon,AZ_HA_007,home_appliances,Samsung 253 L 3 Star Double Door Refrigerator,22490,28990,22.4,4.2,https://www.amazon.in/s?k=Samsung+253+L+3+Star+Double+Door+Refrigerator&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_007
flipkart,FK_HA_008,home_appliances,Whirlpool 265 L 3 Star Double Door Refrigerator,22990,27990,17.9,4.2,https://www.flipkart.com/search?q=Whirlpool+265+L+3+Star+Double+Door+Refrigerator,2026-09-10 10:00:00,MATCH_HA_008
amazon,AZ_HA_008,home_appliances,Whirlpool 265 L 3 Star Double Door Refrigerator,21990,27990,21.4,4.1,https://www.amazon.in/s?k=Whirlpool+265+L+3+Star+Double+Door+Refrigerator&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_008
flipkart,FK_HA_009,home_appliances,Godrej 185 L 5 Star Single Door Refrigerator,14490,18990,23.7,4.2,https://www.flipkart.com/search?q=Godrej+185+L+5+Star+Single+Door+Refrigerator,2026-09-10 10:00:00,MATCH_HA_009
amazon,AZ_HA_009,home_appliances,Godrej 185 L 5 Star Single Door Refrigerator,13990,18990,26.3,4.1,https://www.amazon.in/s?k=Godrej+185+L+5+Star+Single+Door+Refrigerator&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_009
flipkart,FK_HA_010,home_appliances,Haier 320 L Triple Door Refrigerator,29990,35990,16.7,4.3,https://www.flipkart.com/search?q=Haier+320+L+Triple+Door+Refrigerator,2026-09-10 10:00:00,MATCH_HA_010
amazon,AZ_HA_010,home_appliances,Haier 320 L Triple Door Refrigerator,28990,35990,19.4,4.2,https://www.amazon.in/s?k=Haier+320+L+Triple+Door+Refrigerator&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_010
flipkart,FK_HA_011,home_appliances,Voltas 1.5 Ton 3 Star Inverter Split AC,34990,41990,16.7,4.3,https://www.flipkart.com/search?q=Voltas+1.5+Ton+3+Star+Inverter+Split+AC,2026-09-10 10:00:00,MATCH_HA_011
amazon,AZ_HA_011,home_appliances,Voltas 1.5 Ton 3 Star Inverter Split AC,33490,41990,20.2,4.2,https://www.amazon.in/s?k=Voltas+1.5+Ton+3+Star+Inverter+Split+AC&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_011
flipkart,FK_HA_012,home_appliances,LG 1.5 Ton 5 Star Inverter Split AC,44990,53990,16.7,4.5,https://www.flipkart.com/search?q=LG+1.5+Ton+5+Star+Inverter+Split+AC,2026-09-10 10:00:00,MATCH_HA_012
amazon,AZ_HA_012,home_appliances,LG 1.5 Ton 5 Star Inverter Split AC,43490,53990,19.5,4.4,https://www.amazon.in/s?k=LG+1.5+Ton+5+Star+Inverter+Split+AC&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_012
flipkart,FK_HA_013,home_appliances,Samsung 1.5 Ton 3 Star Inverter Split AC,36990,44990,17.8,4.3,https://www.flipkart.com/search?q=Samsung+1.5+Ton+3+Star+Inverter+Split+AC,2026-09-10 10:00:00,MATCH_HA_013
amazon,AZ_HA_013,home_appliances,Samsung 1.5 Ton 3 Star Inverter Split AC,35490,44990,21.1,4.2,https://www.amazon.in/s?k=Samsung+1.5+Ton+3+Star+Inverter+Split+AC&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_013
flipkart,FK_HA_014,home_appliances,Daikin 1.5 Ton 3 Star Inverter Split AC,39990,48990,18.4,4.4,https://www.flipkart.com/search?q=Daikin+1.5+Ton+3+Star+Inverter+Split+AC,2026-09-10 10:00:00,MATCH_HA_014
amazon,AZ_HA_014,home_appliances,Daikin 1.5 Ton 3 Star Inverter Split AC,38990,48990,20.4,4.3,https://www.amazon.in/s?k=Daikin+1.5+Ton+3+Star+Inverter+Split+AC&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_014
flipkart,FK_HA_015,home_appliances,Samsung 28 L Convection Microwave Oven,11990,15990,25.0,4.3,https://www.flipkart.com/search?q=Samsung+28+L+Convection+Microwave+Oven,2026-09-10 10:00:00,MATCH_HA_015
amazon,AZ_HA_015,home_appliances,Samsung 28 L Convection Microwave Oven,11490,15990,28.1,4.2,https://www.amazon.in/s?k=Samsung+28+L+Convection+Microwave+Oven&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_015
flipkart,FK_HA_016,home_appliances,LG 32 L Convection Microwave Oven,13490,17990,25.0,4.4,https://www.flipkart.com/search?q=LG+32+L+Convection+Microwave+Oven,2026-09-10 10:00:00,MATCH_HA_016
amazon,AZ_HA_016,home_appliances,LG 32 L Convection Microwave Oven,12990,17990,27.8,4.3,https://www.amazon.in/s?k=LG+32+L+Convection+Microwave+Oven&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_016
flipkart,FK_HA_017,home_appliances,Godrej 30 L Convection Microwave Oven,10990,14990,26.7,4.2,https://www.flipkart.com/search?q=Godrej+30+L+Convection+Microwave+Oven,2026-09-10 10:00:00,MATCH_HA_017
amazon,AZ_HA_017,home_appliances,Godrej 30 L Convection Microwave Oven,10490,14990,30.0,4.1,https://www.amazon.in/s?k=Godrej+30+L+Convection+Microwave+Oven&ref=nb_sb_noss,2026-09-10 10:00:00,MATCH_HA_017
