source,productid,mobilename,userid,review,rating,reviewdate,sentiment,_review_cleaned
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Faraz Uddin,...Camera quality is disappointing.,,2025-10-01,Negative,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Shivanshu Mishra,...Camera quality below averageLots of basic features are missingDesign,,2025-10-05,Negative,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Swapnil Tadam,...mobile for my father before two monthsCamera quality is goodBattery backup is goodDisplay quality was,,2025-09-12,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Manbhawan  Singh,...Camera quality good but picture pixal not clear during zoom.,,2025-09-24,Neutral,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Ayan Khare,...Nyc camera and pictures quality is too good,,2025-10-06,Positive,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Ashwani Gupta,...Camera quality is very bad .The screen is very blurry,,2025-10-03,Negative,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Prashanta Sarkar,...Camera zoom is 10x but when picture is taken it does  not look good,,2025-10-01,Neutral,
flipkart,a540ff796e078,"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",Anonymous,,,,Neutral,
flipkart,131a44071789c,"Ai+ Pulse (Blue, 64 GB)",Anonymous,,,,Neutral,
flipkart,10bd1668b9bf2,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Anonymous,,,,Neutral,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Defiance Jaga Pradeep,...quality is so poor2.Very ads irritation3.Perfomance is very slow when camera portrait is on4.Sound is ok,,2025-07-12,Negative,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",John  Soren,...Osm ProductBattery life GoodCamera Quality OkkPaisa Wasool,,2025-09-12,Positive,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",anup  singh,"...Camera is not up to the mark.If you are not a camera lover, only need to use mobile then go for it.Otherwise all good for this mobile",,2025-04-12,Neutral,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Nitesh Sahu,...1. Looks - 552. Performance - 453.Camera - 354.Display - 35 (HD Display)5. Value for,,2025-06-12,Neutral,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",vijayan A,...Camera picture quality very low...,,2025-09-12,Negative,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Rahul Maity,...The camera quality is very bad.During video call phone off automatically,,2025-06-12,Negative,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Revathi S,...Phone is super..camera quality is good.sound quality is good.display quality is,,2025-04-12,Positive,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Sandip vamja,"...Good product,but selfi camera only 8mega pixel",,2025-04-12,Neutral,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Flipkart Customer,...Phone is good but the camera is little.Performance is Also Good,,2025-08-12,Neutral,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Madhusudan rao siripuram,...Don't waste your moneyBattery drainCamera poor qualityMobile heating,,2025-07-12,Negative,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",SARAVANAN  NATESAN,...Good.Improvement requisition for camera.,,2025-04-12,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",hritik chaurasiya,...Camera quality very cheap,,2025-04-12,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Tony Stark,"...Camera is decent, Selfie camera is not good.best 5g under this price, Sometimes it became",,2025-08-12,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",nithin rk,"...Too big mobile, low quality camera",,2025-05-12,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Rimpa Das,...Love the product Phone's camera is awesome I'm I really like,,2025-04-12,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Hari Prasath,...and a decent performance for this range.The camera works well not so good.The battery backup is good comes around,,2025-06-12,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Feroz Alvi,...Good Product.Camera average.Overall nice,,2025-09-25,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Suryanarayana,...Nice mobile but camera quality low,,2025-09-20,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Vishal S. Chopra,...Giving 4 stars due to avarage camera quality and non-stereo speakers.,,2025-07-12,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Velmurugan Selvaraj,...Camera quality waste,,2025-08-12,Parsing Error,
flipkart,9a7884b76b50f,"POCO M7 5G (Ocean Blue, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,bbe0bfdee707d,"REDMI Note 14 SE 5G (Titan Black, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,c9dbbd784b6bc,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",Anonymous,,,,Parsing Error,
flipkart,d6ddbcefce040,"realme C61 (Safari Green, 64 GB)",Anonymous,,,,Parsing Error,
flipkart,920c5c8761871,"realme C71 (Sea Blue, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,e2d563c696f88,"realme P3 Pro 5G (Galaxy Purple, 256 GB)",Anonymous,,,,Parsing Error,
flipkart,9acd4c5748761,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,e41a54752cc21,"realme P4 Pro 5G (Birch Wood, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,5a31476ca6a35,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Sandeep Pawar,...camera's AI enhancements on K13x help capture vibrant and well-exposed photos in various lighting conditions.,,2025-07-12,Parsing Error,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Khilesh kumar,"...The OPPO 13x 5G's camera takes stunningly clear photos, even in low light.",,2025-10-01,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Saeshta,"...K13x's camera consistently produces clean, vibrant images in broad daylight, ready for sharing",,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Rahul  Kumar,"...camera quality is average,dont expect very detailed and clear images shot by this mobile.",,2025-09-29,Negative,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Dinesh Marmat,"...Phone Is Very Good but Camera is Average, quality of Camera is Not good as compare to 50MP.",,2025-10-02,Negative,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Sanjay Kumar Ahluwalia,"...K13x's AI-backed camera, while not flagship-level, captures impressive photos in good lighting, perfect for everyday memories",,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Rajender Mann,...K13x's camera produces crisp photos with good dynamic range in daylight,,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Sagir Ali,...K13x's camera produces crisp photos with good dynamic range in daylight,,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Pankaj Arora,...K13x's 50MP camera captures stunningly sharp and clear images in abundant lighting conditions,,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Kelashi,...K13x's 50MP camera captures stunningly sharp and clear images in abundant lighting,,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Depali,"...K13x's camera provides good detail for its class, making photos look great",,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",DINESH DNYANESHWAR MASALKAR,...K13x's camera system handles bright scenes with good dynamic range,,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Anjali Rinku,"...K13x's camera provides excellent detail for its class, making photos genuinely look great",,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Sagar Basu,...K13x's 50MP camera captures impressively sharp and clear images in good lighting,,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",GOVINDA KUMHAR,...good. Big Battery  mobile Good profomus.Oppo is camera  mobile  picture quality super,,2025-10-09,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Sayan Mondal,...The phone is super and smooth and camera is awesomeBest phone under 12000Go for itLove you,,2025-09-28,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Pankaj Chatterjee,"...Even in challenging low-light conditions, K13x's camera captures surprisingly usable and bright images",,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Pankaj Dhami,"...Its AI enhancements subtly improve photos, making K13x's camera feel incredibly smart and intuitive",,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Saveta,"...Its AI enhancements subtly improve photos, making K13x's camera smart",,2025-07-12,Positive,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Suresh Mahato,...Very good mobile but camera quality is averageBattery backup good,,2025-10-06,Neutral,
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Anonymous,,,,Neutral,
flipkart,2890cac28063f,"realme Narzo 80 Lite 4G (Obsidian Black, 64 GB)",Anonymous,,,,Neutral,
flipkart,dbb95e3f12ab6,"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",Anonymous,,,,Neutral,
flipkart,07f7cde0148c4,"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)",Anonymous,,,,Positive,
flipkart,9684d2fe9201e,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)",Anonymous,,,,Negative,
flipkart,42a123557bad4,"Ai+ Pulse (Black, 64 GB)",Anonymous,,,,Neutral,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Arjun Chetri,"...The camera quality is impressive, capturing sharp and vibrant photos.",,2025-01-12,Positive,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Mohitosh  das,"...The camera quality is also impressive, capturing detailed shots effortlessly",,2025-01-12,Positive,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Ranjeeta ubnare,"...is amazing!! I really liked the design.The camera quality is awesome.But the sound is a bit low. Overall, I really",,2025-05-12,Positive,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Souvik Dutta,...2. Camera quality is below average basically at night time.,,2025-03-12,Negative,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Flipkart Customer,...Happy with this phone and it's one camera quality is not too high.,,2025-06-12,Neutral,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Flipkart Customer,...Best mobile phone but camera quality is little low.,,2025-07-12,Neutral,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Flipkart Customer,"...Plus, the rear camera captures detailed shots even in challenging light.",,2025-01-12,Positive,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Irfan Shaikh,...Amazing product really so good.Front camera quality okay.,,2025-06-12,Positive,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Flipkart Customer,"...The camera performs well in all lighting conditions, making it a useful device for photography.",,2025-01-12,Positive,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Shubham Sharma,...I recently bought this phone and The camera quality is good.,,2025-06-12,Positive,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",shivam kashyap,"...Camera quality is very poor, 3rd class quality like feature phone camera ",,2025-06-12,Negative,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Flipkart Customer,...The dual-camera setup on back ensures photo comes out great whether its a zoom or wide shot.,,2025-01-12,Positive,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",vishal yadav,...and stylish.2. front camera is good.3. back camera is average.4. base on the price of the phone processor,,2025-09-12,Neutral,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Dinesh Kumar,...Camera quality not justifiable.50 MP is equivalent to 3MP of Nokia in old,,2025-02-12,Negative,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",suresh T,...Camera quality normalBattery performance super awesomeOverall,,2025-03-12,Neutral,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Neem Raj,...phone and Very nice phone i like it. battery is good.But camera quality is bad.,,2025-04-12,Parsing Error,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Mamta  Agarwal,...A Nice Mobile.Camera is good.Not good for listening to Music.,,2025-07-12,Parsing Error,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Anup Wasekar,"...The camera quality is poor, looking poco brand not expected such a bad quality in camera.",,2025-05-12,Parsing Error,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",KAMLESH PATEL,...Good phone in this price rangeCamera quality is okBattery backup is goodPerformance is good,,2025-07-12,Parsing Error,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Dwarika Nath Mandal,...The camera is not good.It feels like a 2 Mega pixel camera.The design is not looking good.,,2025-08-12,Parsing Error,
flipkart,10b3f6f1bc616,"POCO C75 5G (Aqua Bliss, 64 GB)",Anonymous,,,,Parsing Error,
flipkart,50171223b4a05,"realme P3 Ultra 5G (Neptune Blue, 256 GB)",Anonymous,,,,Parsing Error,
flipkart,8f49f29e842cc,"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)",Anonymous,,,,Parsing Error,
flipkart,b07d67f995271,"Apple iPhone 16 (Black, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,39bba58f6cdfc,"MOTOROLA g35 5G (Guava Red, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,c6edfabb3b52a,"Ai+ Pulse (Pink, 64 GB)",Anonymous,,,,Parsing Error,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Stellar Pink, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,d3af671af1e42,"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)",Anonymous,,,,Parsing Error,
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Anonymous,,,,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",suman Chakraborty,...Low light camera is a beast.But it was consumed more battery when camera,,2025-10-01,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Atul David,...The camera is a downgrade from the previous phone Pixel,,2025-09-26,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Flipkart Customer,...Camera is a huge let down.First of all you don't have the option,,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Sandeep  yadhv,...Camera quality is not good,,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",rohan satvase,...stock android experience with pixel phones.The camera update is really amazing.There are many other features are added,,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Jayanta Brahma,"...Very nice camera,phone is very fast ,battery is also good",,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Saswat Sundar,"...Cameras need no mention for pixel phones, good job overall Google!",,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",YOGENDRA  MURTY,"...Pixel 10 Premium design, good camera.Battery charging time is too long and Airtel",,2025-10-03,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",r c,"...Captures crisp, detailed photos with excellent AI enhancements that feel natural and smart.",,2025-09-15,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",K  Sai Harsh,...really great buying ur dream phone....See the zoom clarity....simply woww,,2025-09-27,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Dhiraj Kadge,...Camera performance is good.Easy to handleBattery life is good.Less warm after 2hrs,,2025-10-11,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",vivek kulkarni,"...While the software could benefit from a few refinements, the camera is outstanding.",,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Durgesh Kumar,...Happy camera quality Best Phone Performance Best Quality,,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Shambhu Kumar Mishra,"...Awesome camera , awesome performance best battery life in a pixel",,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Himanshu  Mall,...Best Camera phone and brilliant Display quality but Google need to fix the charging time issue.,,2025-09-12,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Flipkart Customer,"...I recently upgraded from the Pixel 6a to the Pixel 10. The phone is excellent - crisp display, good camera, and smooth performance.",,2025-09-14,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Swapnil  Birajdar,"...Top notch device, smooth with display, high end on Camera, superb design and sleek to handle",,2025-09-28,Parsing Error,
flipkart,06bd3add90074,"Google Pixel 10 (Obsidian, 256 GB)",Anonymous,,,,Parsing Error,
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,8e3f17ac2e724,"POCO C75 5G (Silver Stardust, 64 GB)",Anonymous,,,,Parsing Error,
flipkart,c45105311348e,"Motorola g45 5G (Brilliant Blue, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,c10ef88d43772,"Ai+ Nova 5G (Green, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,fb10bdbf02c6e,"POCO C71 (Cool Blue, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,c2634fd4daeb9,"vivo T4 5G (Phantom Grey, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,017656bdd097b,"vivo T4x 5G (Glacial Teal, 256 GB)",Anonymous,,,,Parsing Error,
flipkart,12fccc5bfbaac,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)",Anonymous,,,,Parsing Error,
flipkart,180af25bcc197,"Google Pixel 10 (Frost, 256 GB)",Anonymous,,,,Neutral,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Deepumon  Pillai,"...I am really disappointed by the camera, but I noticed a slight quality improvement with a third-party camera app.",,2025-03-12,Negative,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Nayan Narsinghani,"...performance and impressive sound quality.However, the camera quality is poor.If you're someone who prioritizes camera",,2025-07-12,Negative,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Revan S  s,...Camera is not good very bad50mp is worst than 2mp lava camera,,2025-04-12,Negative,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Flipkart Customer,...Low camera quality mobile hage,,2025-10-08,Negative,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",subodh kumar,...Camera is not at all good in this phone.rest is good.,,2025-04-12,Negative,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Manoj  Kumar Saw,...Nice product at this price.The camera and its features are impressive.Look wise it's nice. The battery also impressed,,2025-03-12,Positive,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Hirakjyoti Baruah,...Camera is bad.Rest looking fine,,2025-09-12,Negative,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Arun Kumar Sharma,...Camera is okk...,,2025-05-12,Neutral,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Flipkart Customer,...Camera  vary bad..,,2025-08-12,Negative,
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Mahendra Dhiwar,...Phone is Very Good but Camera is Below Average ,,2025-06-12,Negative,
