source,productid,mobilename,userid,review,rating,reviewdate
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Flipkart Customer,...Good phone under this budget.Like the camera quality.Superr,,2024-09-01
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Mallik Arjuna,...Rear Camera is good and front camera is 16MT  but its too bad,,2025-01-02
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",Anonymous,nan,,
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",subham savraj,...Camera quality good.under this price mobile is nice,,2025-04-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Suraj Nimbalkar,...Best quality of the camera it's like a DSLR..,,2024-08-01
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Gitashree konwar,...Low price best product.Love itCamera quality is too good,,2025-06-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",sanjay Nagbongshi,...Camera quality very bad ,,2025-09-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Flipkart Customer,...Camera is not goodVery bad camera,,2024-08-01
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Kcg T,...Camera low quality,,2025-02-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Saras Sachan,...Nice Product...Nice Design...Nice Camera...Sound Quality is best...Battery Backup,,2025-01-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",SUSHEEL KUMAR,...Camera is not good,,2025-01-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Arpit  jaiswal,...good battery and best camera..,,2025-03-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Vijay Patel,...Superb phone..camera is awesome in this price,,2025-09-04
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Gajendra Singh Rathore,...Pros:-1. Nice design and display2. Light weight and slim3. Good Camera,,2025-02-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",P kirankumar P,...Best price camera is super happy realme and happy Flipkart,,2025-04-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Urmila,...Battery backup poor camera quality worst mobile battery charging takes more hour's in a single day order recieved of new phone,,2025-08-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Himanshu Kashyap,"...All good in this price range,camera, performance, battery, charging all good .",,2024-12-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Nirgun Kumar,...Very nice pics,,2025-02-02
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Anonymous,nan,,
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Deepak Baretha,"...Camera Quality is very good, feel like premium phone",,2025-09-25
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Flipkart Customer,"...4. Cameras: This is the only saving grace, however still not perfect.",,2025-09-30
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Keshav Pawaskar,...The main camera captures good photos with sharp details and doesn't produce overly soft images.,,2025-08-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Krushna dash,...Very bad mobile and camera quality is very bad.,,2025-09-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Rajesh,...back side logo.5. Performance is good.6. The camera is good.7. Phone is light weight.8. Display colors,,2025-08-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Obayeed Hasan,...Due to camera quality it will spoil the motorola reputation.,,2025-09-18
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Mohammed Rafiq,...The camera is awesome and gives best quality images,,2025-09-28
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Sangita  Dey,"...the best smartphone in this price range.The camera and video quality is fabulous.The battery consumption is ok, I can say",,2025-08-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Faraz Uddin,...Camera quality is disappointing.,,2025-10-01
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Swapnil Tadam,...mobile for my father before two monthsCamera quality is goodBattery backup is goodDisplay quality was,,2025-09-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Manbhawan  Singh,...Camera quality good but picture pixal not clear during zoom.,,2025-09-24
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Prashanta Sarkar,...Camera zoom is 10x but when picture is taken it does  not look good,,2025-09-30
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Vivek Kumar,"...Camera is good especially in portrait mode but lack in small object that why I cut 1 star , video recording is very good.",,2025-09-12
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Govindaraju G B,...Excellent product 55Camera 4.55Battery 45Performance 4.55Display 55,,2025-09-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Risha Sarkar,...Camera is awesome Specially front camera is 1010A sligh,,2025-08-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Flipkart Customer,...Very poor camera quality.Overall performance is bad,,2025-09-09
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Ramesh K,...Super reasonable but back camera low quality,,2025-09-24
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Ravindra velip,...Nic camera n very slim phone,,2025-08-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Prakash Kumar,...hourse puls Minutes with Google 33w ChargerCamera best phoneBut display normal,,2025-09-29
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Sudutta Mandal,"...Front camera's Portrait Mode has dynamic range handling issue, no touch to focus or exposure control till now.",,2025-08-02
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Anonymous,nan,,
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Jaita  Sardar,......5.And also it has  502 megapixel rear camera which takes better shots and front camera is quite good enou,,2025-08-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",ISHWARYA  CHERUVU,"...Performance is poor ,design seems familiar.Low camera quality.Could be better",,2025-09-10
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Avdhesh Sahu,...Camera Quality is average.Otherwise ok phone. Camera is decent but,,2025-09-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Suraj Kumar,...Camera quality is mind blowing.Best smartphone in the market,,2025-08-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Akash Dey,"...low, it take 2 hr 30 min for full charge.Camera quality is low.",,2025-08-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Ishita Roy,"...Disappointed with the camera quality,except that let's see how long the phone works well",,2025-09-27
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Jignesh vala,...Camera quality is bad.Average phone.,,2025-08-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Flipkart Customer,...Camera quality is not good....go for other,,2025-09-27
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Flipkart Customer,...Front camera quality not goodslow charging,,2025-08-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Isak Mangasule,...Camera - 35Display - 45Speaker - 35Performance -,,2025-09-22
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Anup Das,"...Phone fully charged in less than 2 hours.Rear camera 55, Front camera 45",,2025-08-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Flipkart Customer,...Very nice Vivo T4 Lite mobile phone camera  and video songs volume very good,,2025-08-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Sarat kumar Das,...The camera is pretty good.Battery is too good but it's take long time,,2025-10-01
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Manoj Chaudhary,...Camera quality low but top mobile,,2025-08-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Dinesh  Kumar,"...very good phone...look wise awasome,cameras good,Phone All features are very good..All over good product..",,2025-09-05
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Umesh ukey,...Camera is averagePerformance is good,,2025-09-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Flipkart Customer,...Camera quality is pathetic ,,2025-09-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",happy Krishna,...Good product but camera quality is low but overall all are okay,,2025-09-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Neha Customer,...But the camera is not as good as we expected from this phone.,,2025-09-02
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Harpreet Singh,...Every function lite speaker  camera not goo,,2025-08-02
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Faishal,"... The camera quality is outstanding, capturing every detail perfectly",,2025-09-30
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Flipkart Customer,...Upgrade iPhone 13 to 16 proBest camera and compact phone ..! ,,2025-09-28
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",SrinivasReddy KomiReddy,...Titanium Build quality is AswmoeCamera quality is excellentPhone in hand feel Size Aswmoe Ios ui Supe,,2025-10-01
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Farhan Bilal Mukri,"...Gets slows too early, camera is not up to the mark, could've been lot better.",,2025-05-02
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Varun K Gupta,"...The camera is a bit underwhelming than what I expected.The phone itself is good, I like the shape",,2025-09-27
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",MOHAMMAD  KHAN,...Level PerformanceGreat Battery LifeGreat Camera Quality Specially VideosAwesome Experience ,,2025-06-02
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Dibyendu Mitra,...Superb phonePros:1. It is iphone with 3 cameras2. It is latest iphone3. It is iphone,,2025-06-02
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Flipkart Customer,...Good degineNice camera 484812Battery  goodA18 chipset good for gamin,,2025-09-27
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Srinivas Dhulipala,"...Fantastic camera, brightness.And a lovely deal from Flipkart!",,2025-09-28
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Shivam Kumar Jha,...Camera is normal not extraordinary some function are good but lack creativity not fully satisfied.,,2025-09-26
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Abhay Solanki,...Very nice phone and camera is awesome,,2025-09-29
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",QUASHIF REZA,...marvellous... excellent performance....excellent camera...Got it in BBD Sale ....at bumper deal.,,2025-09-24
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",CHIRAG mehta,...Thank you flipkart.Amazing camera and service.,,2025-09-23
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Flipkart Customer,...Good phone and nice camera,,2025-09-30
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Rojina Biswas,...Very good phone camera was awesome I really like it,,2025-09-23
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Pratik More,...Best camera phoneBest display ,,2025-09-29
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Ram  Vyas,...Great Camera ,,2025-09-27
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Prashant Yadav,...camera is not that great but video is really amazing But i am also using nothing phone it is amazing experience of U,,2025-10-01
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Sumit Meena,...Apple need to improve in camera app to much real photo captured in camera.,,2025-09-02
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Kaluvaya Sreenivasulu,...Camera not working,,2025-08-02
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Anonymous,nan,,
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Prince  Kushwaha,"...The camera quality is top-notch, capturing sharp and vibrant photos even in low light.",,2025-06-02
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",anmolsingh  anmol,...iPhone 13pro max to 16The camera qualities is fab,,2025-09-25
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Pintu Harsha,...Perfomance wise also good ...No doubt about camera (stunning,,2025-09-27
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Shubham Gupta,...Nice phone in terms of use and camera quality,,2025-09-27
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Sayantan Mondal,"...Amazing phone ,camera quantity top-notch.Good performance.",,2025-09-24
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",BISWARUP GHOSH,...NO DOUBT ABOUT IPHONE 16. CAMERA IS EXCELLENT.BATTERY IS MODERATE. DISPLAY IS MUCH BETTER,,2025-09-26
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Sanjeev Bhati,...Amazing iphone ever .Camera is great and inland feel is amazing.Thanks flipkart,,2025-10-01
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Sougata Roy,...Intelligence is not available out of the box.Camera quality is awesome.,,2024-09-01
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Abhijeet  Modak,...Very nice phone. I got this in BBD.Camera quality is superb.,,2025-09-25
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Rohan Bhosale,...Cameras Quality is Too Good Photos Click like a DSLR camera ,,2025-09-30
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Yash Vishwakarma,...Camera is  so good and have 5x optical zoom,,2025-09-30
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Pankaj Dhalwal,...The quality of the camera is very low while the 12 MP camera of the iPhone X is 100 times better.,,2025-05-02
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Rinku singh,...Nyc Phone with the camera quality,,2025-09-28
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Saurabh Suman,...Camera is good in terms of videography.But for photography I will not recommend,,2025-09-28
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Rohan Bhosale,...Camera Quality is too Good Photos shoot like a DSLR Camera ,,2025-09-30
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Zahid Ansari,...comfortable to keep in pocket..good display size..camera quality Is good ..and abt performance of battery little bit,,2025-09-28
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Santharao,...Excellent performanceGood camera qualityGood design,,2025-09-25
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Shahil  Ansari,...Everything is fine and the camera is also very good.,,2025-09-25
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,2025-09-02
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,2025-07-02
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Anonymous,nan,,
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",subhajit sadhukhan,"...Display:It looks awesome, check my imagesCamera: excellent picture and details capturedVideo: Front camera 4k awesome.Battery:",,2024-09-01
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Sonia Sharma,...Camera quality is amazing 4k shots and many things.,,2025-08-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Flipkart Customer,...Camera: The camera system is versatile and can take great photos in a variety of conditions.,,2025-03-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Rajeevan Kakkokara,"...etc, then exynos is good for these tasks.The phone is great and camera is good.",,2025-06-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Ashish Kumar Patel,"...wrost camera quality,never saatified in hand feel ..not good for money....i suggeust in this",,2024-08-01
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Flipkart Customer,"...Product is bestLove the Camera qualityHeating problem with battery,it could be",,2025-06-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Ashwini  Kamate,...The product is good Camera quality Better clear skin tones,,2025-07-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Sewanga Pulak  Dolakashoria,...Portrait camera mode and the primary camera on this phone is really nice.,,2025-09-28
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Flipkart Customer,...Camera is top notch too and you can get some pretty good images.,,2024-06-01
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",ARYAN SINGH,".... The camera is not too vibrant and takes natural photos, selfie camera is good to",,2024-12-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Farhana Parvin,...Camera quality is amazing...I'm obsessed ,,2025-02-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Bhaskar  Bairagi,...good picture quality camera... but battry backup bad quality and charging,,2025-06-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",SUSHEEL RAIKWAR,...Camera quality is too poor to be compared with VGA camera.,,2025-05-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Yesudass Moses,...Better than my Nothing 2a in terms of camera quality...,,2025-01-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Harsh Sharma,...Camera isn't too good the dynamic range is soo badHeating issuePerformance is good enough,,2025-08-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",abhi ranshinge,...Phone Good but camera quality is no good.bed camera,,2025-07-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Mohit Rajput,...VERY NICE MOBILE AND NEXT LEVEL CAMERAIT PLAY BHMI ON 60 FPSI LOVE IT,,2025-06-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Aparajita Samal,...Camera Quality n storeg,,2025-06-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Amit kumar Tiwary,...Samsung a35 smartphone is good  camera ossam,,2025-06-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Amit Kumar Sahu,...Only camera quality not up to the mark I was exchange from iPhone xr believe me XR camera much better than A35,,2025-06-02
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Anonymous,nan,,
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Prince  Kushwaha,"...The camera quality is top-notch, capturing sharp and vibrant photos even in low light.",,2025-06-02
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",anmolsingh  anmol,...iPhone 13pro max to 16The camera qualities is fab,,2025-09-25
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Pintu Harsha,...Perfomance wise also good ...No doubt about camera (stunning,,2025-09-27
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Shubham Gupta,...Nice phone in terms of use and camera quality,,2025-09-27
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sayantan Mondal,"...Amazing phone ,camera quantity top-notch.Good performance.",,2025-09-24
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",BISWARUP GHOSH,...NO DOUBT ABOUT IPHONE 16. CAMERA IS EXCELLENT.BATTERY IS MODERATE. DISPLAY IS MUCH BETTER,,2025-09-26
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sanjeev Bhati,...Amazing iphone ever .Camera is great and inland feel is amazing.Thanks flipkart,,2025-10-01
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sougata Roy,...Intelligence is not available out of the box.Camera quality is awesome.,,2024-09-01
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Abhijeet  Modak,...Very nice phone. I got this in BBD.Camera quality is superb.,,2025-09-25
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rohan Bhosale,...Cameras Quality is Too Good Photos Click like a DSLR camera ,,2025-09-30
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Yash Vishwakarma,...Camera is  so good and have 5x optical zoom,,2025-09-30
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Pankaj Dhalwal,...The quality of the camera is very low while the 12 MP camera of the iPhone X is 100 times better.,,2025-05-02
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rinku singh,...Nyc Phone with the camera quality,,2025-09-28
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Saurabh Suman,...Camera is good in terms of videography.But for photography I will not recommend,,2025-09-28
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rohan Bhosale,...Camera Quality is too Good Photos shoot like a DSLR Camera ,,2025-09-30
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Zahid Ansari,...comfortable to keep in pocket..good display size..camera quality Is good ..and abt performance of battery little bit,,2025-09-28
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Santharao,...Excellent performanceGood camera qualityGood design,,2025-09-25
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Shahil  Ansari,...Everything is fine and the camera is also very good.,,2025-09-25
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,2025-09-02
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,2025-07-02
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Anonymous,nan,,
flipkart,8553dc1ee56ee,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",Karthik Dhulipala,...Pros:-Camera is good but not that much great it's ok-ish details feels like little bit clumsy.,,2025-06-02
